Tabela deÁreas do conhecimento / Componentes Curriculares;;;;
Código; Áreas do conhecimento/componentes curriculares;;;
Linguagens;;;;
6;Língua /Literatura Portuguesa ;;;
7;Língua /Literatura estrangeira - Inglês ;;;
8;Língua /Literatura estrangeira - Espanhol;;;
30;Língua/Literatura estrangeira - Francês;;;
9;Língua /Literatura estrangeira - outra;;;
27;Língua indígena;;;
23;Libras;;;
31;  Língua Portuguesa como Segunda Língua;;;
10;Arte (Educação Artística, Teatro, Dança, Música, Artes Plásticas e outras);;;
11;Educação Física;;;
Matemática;;;;
3;Matemática;;;
Ciências da Natureza;;;;
1;Química;;;
2;Física;;;
4;Biologia;;;
5;Ciências;;;
Ciências Humanas e Sociais;;;;
12;História;;;
13;Geografia;;;
14;Filosofia;;;
28;Estudos Sociais;;;
29;Sociologia;;;
Outras áreas;;;;
16;Informática/Computação;;;
17;Áreas do conhecimento profissionalizantes ;;;
25;Áreas do conhecimento pedagógicas ;;;
26;Ensino religioso;;;
32;  Estágio curricular supervisionado;;;
33;  Projeto de vida;;;
99;Outras áreas do conhecimento;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
