Etapa agregada;;Etapa de ensino;;;;;
Código;Nome;Código;Nome;;Filtro;Código;Nome Etapa
301;Educação Infantil;1;Educação infantil - creche (0 a 3 anos);;Educação Infantil;1;Educação infantil - creche (0 a 3 anos)
;;2;Educação infantil - pré-escola (4 e 5 anos);;;2;Educação infantil - pré-escola (4 e 5 anos)
;;3;Educação infantil - unificada (0 a 5 anos);;;3;Educação infantil - unificada (0 a 5 anos)
302;Ensino Fundamental ;14;Ensino fundamental de 9 anos - 1º Ano;;Ensino Fundamental de 9 anos;14;Ensino fundamental de 9 anos - 1º Ano
;;15;Ensino fundamental de 9 anos - 2º Ano;;;15;Ensino fundamental de 9 anos - 2º Ano
;;16;Ensino fundamental de 9 anos - 3º Ano;;;16;Ensino fundamental de 9 anos - 3º Ano
;;17;Ensino fundamental de 9 anos - 4º Ano;;;17;Ensino fundamental de 9 anos - 4º Ano
;;18;Ensino fundamental de 9 anos - 5º Ano;;;18;Ensino fundamental de 9 anos - 5º Ano
;;19;Ensino fundamental de 9 anos - 6º Ano;;;19;Ensino fundamental de 9 anos - 6º Ano
;;20;Ensino fundamental de 9 anos - 7º Ano;;;20;Ensino fundamental de 9 anos - 7º Ano
;;21;Ensino fundamental de 9 anos - 8º Ano;;;21;Ensino fundamental de 9 anos - 8º Ano
;;41;Ensino fundamental de 9 anos - 9º Ano;;;22;Ensino fundamental de 9 anos - multi
303;Multi e correção de fluxo;22;Ensino fundamental de 9 anos - multi;;;41;Ensino fundamental de 9 anos - 9º Ano
;;23;Ensino fundamental de 9 anos - correção de fluxo;;;23;Ensino fundamental de 9 anos - correção de fluxo
;;56;Educação infantil e ensino fundamental - multietapa;;Multietapa;56;Educação infantil e ensino fundamental - multietapa
304;Ensino Médio;25;Ensino médio - 1ª Série;;Ensino Médio;25;Ensino médio - 1ª Série
;;26;Ensino médio - 2ª Série;;;26;Ensino médio - 2ª Série
;;27;Ensino médio - 3ª Série;;;27;Ensino médio - 3ª Série
;;28;Ensino médio - 4ª Série;;;28;Ensino médio - 4ª Série
;;29;Ensino médio - não seriada;;;29;Ensino médio - não seriada
305;Ensino Médio - Normal/ Magistério;35;Ensino médio - normal/magistério - 1ª Série;;Educação Profissional Técnica de Nível Médio - Integrada;30;Curso técnico integrado (ensino médio integrado à formação técnica e profissional) 1ª Série
;;36;Ensino médio - normal/magistério - 2ª Série;;;31;Curso técnico integrado (ensino médio integrado à formação técnica e profissional) 2ª Série
;;37;Ensino médio - normal/magistério - 3ª Série;;;32;Curso técnico integrado (ensino médio integrado à formação técnica e profissional) 3ª Série
;;38;Ensino médio - normal/magistério - 4ª Série;;;33;Curso técnico integrado (ensino médio integrado à formação técnica e profissional) 4ª Série
306;Educação de Jovens e Adultos (EJA) (ensino fundamental, ensino médio e integrada);69;EJA - Ensino fundamental - anos iniciais (1º segmento);;;34;Curso técnico integrado (ensino médio integrado à formação técnica e profissional) não seriada
;;70;EJA - Ensino fundamental - anos finais (2º segmento);;;74;Curso técnico integrado na modalidade EJA (EJA de nível médio integrada à formação técnica e profissional)
;;72;EJA - Ensino fundamental  - anos iniciais e anos finais (EJA Multietapas);;Ensino Médio - Normal/ Magistério;35;Ensino médio - normal/magistério 1ª Série
;;71;EJA - Ensino médio (3º segmento);;;;
;;74;Curso técnico integrado na modalidade EJA (EJA integrada à educação profissional de nível médio);;;;
;;73;Curso FIC integrado na modalidade EJA - nível fundamental;;;;
;;67;Curso FIC integrado na modalidade EJA - nível médio;;;36;Ensino médio - normal/magistério 2ª Série
308;Educação Profissional  Técnica de Nível Médio - Curso Técnico e FIC - Concomitante ou Subsequente;39;Curso técnico - concomitante;;;70;EJA - ensino fundamental -  anos finais
;;40;Curso técnico - subsequente;;;72;EJA - ensino fundamental  - anos iniciais e anos finais
;;64;Curso técnico misto;;EJA - Médio;71;EJA - ensino médio
;;68;Curso FIC concomitante ;;;;

